net,k,p,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
1,8,0.0,2.304,495.0592323232323,0.006536475869809204,0.11765656565656565,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
2,8,0.0,2.56,494.8924444444445,0.005688888888888888,0.1137777777777778,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
3,8,0.0,2.304,494.8862040816327,0.006312925170068027,0.11363265306122448,nan,nan,12.544,12.544,0.872,nan,0,nan,nan
4,8,0.0,2.432,495.0036363636365,0.006124401913875599,0.11636363636363635,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
5,8,0.0,2.432,494.81600000000014,0.005894736842105262,0.112,nan,nan,12.288,12.288,0.872,nan,0,nan,nan
6,8,0.0,2.688,495.0592323232323,0.005602693602693604,0.11765656565656565,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
7,8,0.0,2.304,494.7812525252526,0.006177328843995511,0.11119191919191919,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
8,8,0.0,2.816,494.67006060606064,0.004936639118457299,0.1086060606060606,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
9,8,0.0,2.688,494.83684848484853,0.005356421356421356,0.11248484848484848,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
10,8,0.0,2.816,495.11482828282834,0.005406795224977044,0.11894949494949493,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
11,8,0.0,2.816,494.94804040404046,0.00523048668503214,0.11507070707070707,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
12,8,0.0,2.432,494.8924444444445,0.005988304093567251,0.1137777777777778,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
13,8,0.0,2.304,494.83684848484853,0.00624915824915825,0.11248484848484848,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
14,8,0.0,2.304,494.94804040404046,0.006392817059483727,0.11507070707070707,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
15,8,0.0,2.304,494.83684848484853,0.00624915824915825,0.11248484848484848,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
16,8,0.0,2.56,495.0962962962964,0.005925925925925925,0.11851851851851851,nan,nan,10.368,10.368,0.872,nan,0,nan,nan
17,8,0.0,2.56,494.87333333333345,0.005666666666666666,0.11333333333333334,nan,nan,12.288,12.288,0.872,nan,0,nan,nan
18,8,0.0,2.56,494.83684848484853,0.005624242424242424,0.11248484848484848,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
19,8,0.0,2.432,494.94804040404046,0.0060563530037214255,0.11507070707070707,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
20,8,0.0,2.304,495.0036363636365,0.006464646464646465,0.11636363636363635,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
21,8,0.0,2.304,495.11482828282834,0.006608305274971941,0.11894949494949493,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
22,8,0.0,2.176,495.0453333333334,0.006901960784313727,0.11733333333333332,nan,nan,12.288,12.288,0.872,nan,0,nan,nan
23,8,0.0,2.432,495.16,0.00631578947368421,0.12,nan,nan,12.288,12.288,0.872,nan,0,nan,nan
24,8,0.0,2.304,495.11482828282834,0.006608305274971941,0.11894949494949493,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
25,8,0.0,2.304,494.8862040816327,0.006312925170068027,0.11363265306122448,nan,nan,12.544,12.544,0.872,nan,0,nan,nan
26,8,0.0,2.56,494.94804040404046,0.005753535353535354,0.11507070707070707,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
27,8,0.0,2.432,494.83684848484853,0.005920255183413077,0.11248484848484848,nan,nan,12.672,12.672,0.872,nan,0,nan,nan
