net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
28,bsps,ack,0.05,100,1.0,13.476,581.6077535353536,0.04778030061639687,0.644848484848485,46.48989898989899,114.0,49.924,61.6,0.4883456128600134,0.6785046728971963,0,0.3560606060606061,1.0
29,bsps,ack,0.05,100,1.0,14.456,583.1487393939395,0.047280120641885345,0.6831515151515152,47.37080536912752,114.0,51.568,63.596,0.4869786152868939,0.666049953746531,0,0.35906040268456374,1.0
30,bsps,ack,0.05,93,0.93,12.864,584.6891739130434,0.055648133750307666,0.714304347826087,50.226003490401396,114.0,45.948,57.332,0.4866607228585145,0.6680923866552609,0,0.3830715532286213,1.0
31,bsps,ack,0.05,100,1.0,13.096,583.078602020202,0.05205148857876131,0.6805656565656566,49.16816326530612,114.0,50.136,62.464,0.4869880976397014,0.662533215234721,0,0.3795918367346939,1.0
32,bsps,ack,0.05,100,1.0,14.648,582.6257010101011,0.04595283384008874,0.6712727272727272,49.08360927152318,114.0,50.372,62.616,0.486857825567503,0.6663851351351351,0,0.3758278145695364,1.0
33,bsps,ack,0.05,100,1.0,14.916,584.5470262626263,0.048359484633014045,0.7207272727272728,47.32244897959184,114.0,51.216,64.532,0.48713962690785756,0.6666666666666666,0,0.34938775510204084,1.0
34,bsps,ack,0.05,100,1.0,13.86,583.5472888888889,0.05051131436398816,0.6994343434343434,51.02947845804989,114.0,48.52,62.168,0.48586136890951276,0.6688741721854304,0,0.3900226757369615,1.0
35,bsps,ack,0.05,100,1.0,17.856,579.8018464646465,0.033919785658532264,0.6035151515151514,49.27115858668858,118.0,51.504,62.772,0.48779750661125804,0.6758620689655173,0,0.35661462612982747,1.0
36,bsps,ack,0.05,97,0.97,14.984,581.4426125,0.04302088289909981,0.6425,50.41887417218543,115.0,47.64,59.092,0.4871410736579276,0.6739837398373983,0,0.3832781456953642,1.0
37,bsps,ack,0.05,96,0.96,15.468,584.8461136842105,0.046970786131653,0.7256842105263158,50.37910699241786,116.0,47.94,61.02,0.4869196323356116,0.6748285994123409,0,0.37152485256950296,1.0
38,bsps,ack,0.05,100,1.0,13.18,583.3929333333333,0.052194769876588054,0.6872727272727273,50.1245011971269,114.0,48.828,61.24,0.48698495748855464,0.6735537190082644,0,0.38786911412609737,1.0
39,bsps,ack,0.05,100,1.0,13.972,582.3288,0.04756019992089511,0.6625858585858586,47.115606936416185,114.0,50.62,62.476,0.48689509007417875,0.6703196347031963,0,0.3592072667217176,1.0
40,bsps,ack,0.05,100,1.0,13.536,584.7237171717172,0.05330741785447668,0.7189494949494949,48.51292407108239,114.0,49.528,62.64,0.4873117975542518,0.6727107887579329,0,0.3651050080775444,1.0
41,bsps,ack,0.05,100,1.0,13.828,582.5527919191919,0.04847239444057626,0.6709090909090909,51.662460567823345,114.0,48.2,60.792,0.4868145949956161,0.6675191815856778,0,0.3998422712933754,1.0
42,bsps,ack,0.05,100,1.0,13.616,583.9931636363636,0.051403332189695825,0.6985454545454545,49.408145580589256,114.0,50.388,62.604,0.4879194630872483,0.6772727272727272,0,0.37954939341421146,1.0
43,bsps,ack,0.05,96,0.96,13.596,583.3209684210527,0.05097836108164282,0.6905263157894738,48.87244480784955,114.0,46.652,59.428,0.48684544992374174,0.6653481012658228,0,0.3802125919869174,1.0
44,bsps,ack,0.05,100,1.0,14.032,582.5915353535354,0.04760921906376452,0.6672323232323232,46.20280296784831,114.0,51.08,62.748,0.48789401553220646,0.6898895497026338,0,0.34707337180544107,1.0
45,bsps,ack,0.05,100,1.0,13.16,584.2935474747475,0.054103527448981996,0.7113131313131313,46.79454253611557,114.0,49.24,62.348,0.48812327568804253,0.6830553116769096,0,0.3547351524879615,1.0
