net,burst,scheme,p,reachable,nodes,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
35,5,ewma,0.2,1.0,100,24,19.088,539.2991797979798,0.045026463230697866,0.8567676767676766,29.92036999798914,117.0,36.248,68.18,0.48359133126934983,0.7962648556876061,0,0.15463502915745023,1.0
36,5,ewma,0.2,0.97,97,21,15.344,539.3142666666668,0.05650718045230913,0.86425,29.655555555555555,114.0,34.884,63.572,0.48321457430397413,0.7959857025020621,0,0.1708595387840671,1.0
37,5,ewma,0.2,0.96,96,21,16.328,546.7795073684212,0.06012761271679635,0.9798315789473684,29.00435955989205,116.0,33.904,66.22,0.483032091479159,0.7949070887818307,0,0.15154660577122692,1.0
38,5,ewma,0.2,1.0,100,17,13.908,541.9164040404041,0.06581058453331182,0.9122828282828283,28.009098428453267,113.0,36.6,66.352,0.4832967199454587,0.7929675659290694,0,0.1606699751861042,1.0
39,5,ewma,0.2,1.0,100,19,14.56,542.7612242424243,0.06308950461303402,0.9172525252525253,28.740809201067982,113.0,35.524,67.736,0.481537050929399,0.784506609283738,0,0.1698500718833436,1.0
40,5,ewma,0.2,1.0,100,18,14.312,545.4096363636364,0.06752093647093646,0.9629898989898991,28.950462487153136,114.0,36.076,68.048,0.4820287208433635,0.7936309709647206,0,0.1630010277492292,1.0
41,5,ewma,0.2,1.0,100,19,14.592,543.6667797979799,0.06364709745592098,0.9280808080808081,29.335290663534938,114.0,34.324,66.732,0.48072144288577157,0.7917730496453901,0,0.16911332941867294,1.0
42,5,ewma,0.2,1.0,100,17,13.964,544.0623636363638,0.06740166046075137,0.9391111111111111,27.375340334500194,113.0,35.672,67.364,0.4827287748839405,0.7894257064721969,0,0.15655387008945934,1.0
43,5,ewma,0.2,0.96,96,20,14.232,543.1697894736843,0.06546151193220444,0.9227368421052631,27.615190935795216,114.0,33.772,64.12,0.48384467170594336,0.7940673131774102,0,0.1642887117079312,1.0
44,5,ewma,0.2,1.0,100,19,14.828,542.1452202020203,0.06135362495166417,0.9092929292929294,28.10552663195835,114.0,36.1,67.42,0.4830806920839075,0.7955206515415939,0,0.15839006808169803,1.0
45,5,ewma,0.2,1.0,100,17,13.788,544.8355636363638,0.06927442994715721,0.9521616161616162,28.245309381237526,113.0,34.972,67.212,0.4812485070467394,0.7890148212728858,0,0.16487025948103792,1.0
46,5,ewma,0.2,0.99,99,19,15.336,543.2999265306123,0.060685544547489326,0.9297142857142858,28.77743840358379,114.0,35.32,66.824,0.48374280385956375,0.7912851278812757,0,0.15740175117084096,1.0
47,5,ewma,0.2,1.0,100,19,14.78,541.079991919192,0.06002461938932527,0.8848484848484848,27.81177156177156,114.0,35.812,67.42,0.4825205320154081,0.7928361400695001,0,0.1592851592851593,1.0
48,5,ewma,0.2,0.99,99,18,14.876,541.4558897959184,0.0605841562265932,0.897265306122449,28.0702538071066,114.0,36.244,67.256,0.4810550383798791,0.7876459741856177,0,0.1585786802030457,1.0
49,5,ewma,0.2,1.0,100,18,14.596,539.7021252525253,0.05988713486948781,0.8721616161616161,29.035237698081733,113.0,37.02,66.508,0.482868114015655,0.7828224407171775,0,0.17222685571309423,1.0
0,5,oracle,0.2,0.99,99,19,10.184,532.7341959183674,0.06382820099401731,0.6489387755102041,8.297456380071473,12.0,0.0,34.28,1.0,1.0,0,0.0,1.0
1,5,oracle,0.2,1.0,100,18,10.988,539.2269414141415,0.06810010023646387,0.7472323232323234,9.592922065364533,13.0,0.0,39.088,1.0,1.0,0,0.0,1.0
2,5,oracle,0.2,1.0,100,20,10.76,533.6328686868688,0.06163043410013107,0.6628282828282829,8.692565445026178,12.0,0.0,36.004,1.0,1.0,0,0.0,1.0
3,5,oracle,0.2,0.99,99,18,10.052,533.1385877551021,0.065047693576265,0.6553877551020408,7.521486643437863,11.0,0.0,35.416,1.0,1.0,0,0.0,1.0
4,5,oracle,0.2,1.0,100,19,9.504,532.8020242424243,0.06837391205876053,0.6498181818181817,8.053007993268826,11.0,0.0,34.284,1.0,1.0,0,0.0,1.0
5,5,oracle,0.2,0.97,97,19,11.212,535.1312666666669,0.06114082063769563,0.6857083333333333,8.590855340953883,12.0,0.0,36.416,1.0,1.0,0,0.0,1.0
6,5,oracle,0.2,1.0,100,21,10.188,535.1177818181818,0.0671709365830578,0.6851717171717172,8.26671974522293,12.0,0.0,36.66,1.0,1.0,0,0.0,1.0
7,5,oracle,0.2,1.0,100,18,9.468,531.7472080808082,0.06693397029457634,0.6342222222222222,7.382961294286299,10.0,0.0,34.552,1.0,1.0,0,0.0,1.0
